user_id,username,tweets_collectted_at,location,followers,friends,statuses,last_time_check,failed
1172412683926171648,31st_SOFT2020,2020-11-27 12:59:43.223085,"Dubrovnik, Croatia",132,273,42,-1,False
2905565649,322cfe68a7ed451,2020-11-27 12:59:46.407593,Bjelovar,4,7,0,2020-11-15 22:35:25.425182,False
447853632,333Slaven,2020-11-27 12:59:47.418784,"Zagreb, Croatia",0,10,1,-1,False
3037554939,337a3896e42e4ef,2020-11-27 12:59:48.389936,Republic of Croatia,31,238,0,-1,False
760839495646347264,33cabesox1,2020-11-27 12:59:50.413744,Republic of Croatia,6,81,0,-1,False
1216022860357041920,34Vers,-1,Zagreb,589,565,119,2020-11-08 18:30:49.566478,True
907194505815842816,360nekretnine,2020-11-27 12:59:52.442643,Zagreb,1,2,2,-1,False
235118131,373ink,2020-11-27 12:59:54.798667,Zagreb,4,1,19,-1,False
3244626389,374449f2fd1f42a,2020-11-27 12:59:55.747667,Republic of Croatia,0,25,0,-1,False
1182564464,37550513,2020-11-27 12:59:56.696329,CROATIA,24,19,0,-1,False
2748088223,385914500715,2020-11-27 12:59:58.880648,Zagreb,3,57,67,2020-11-16 14:27:01.259041,False
1013799089547464832,385_877,2020-11-02 23:57:03.851019,Republic of Croatia,3,65,15,2020-10-08 17:31:36.352162,False
1114779046573899648,385_play,2020-11-27 13:00:01.815254,Republic of Croatia,1158,410,116,-1,False
3044766471,38milan,2020-11-27 13:00:02.825081,Republic of Croatia,3,60,1,-1,False
3377906806,390d6653f3f041a,2020-11-27 13:00:03.826171,Republic of Croatia,1,1,0,-1,False
1552928724,3Anabelka,2020-11-27 13:00:05.082745,Croatia ,484,1599,900,-1,False
557553454,3DNekretnine,2020-11-27 13:00:06.014813,"Zagreb, Croatia",26,10,0,-1,False
93261537,3Dhr,2020-11-27 13:00:07.409130,Zagreb,51,34,94,-1,False
841083115,3Followback69,2020-11-27 13:00:08.390327,Croatia ,41,86,3,-1,False
774926733212524544,3KF_doo,2020-11-27 13:00:09.576845,Zagreb,2,13,7,-1,False
707843903458775040,3Mrchem,2020-11-27 13:00:12.118503,Croatia,4,22,0,-1,False
398684817,3Portal,2020-11-27 13:00:13.219444,Croatia,24,73,36,-1,False
2669628008,3Storan69,2020-11-27 13:00:14.249799,Croatia,27,166,2,-1,False
971309631753670400,3_2_1_Fitness,2020-11-27 13:00:15.311119,Republic of Croatia,7,9,4,-1,False
3407207757,3_hnl,2020-11-27 13:00:21.703152,Republic of Croatia,15,27,0,-1,False
2758290000,3d_printanje,2020-11-27 13:00:22.939169,"Zagreb, Croatia",45,84,39,-1,False
3010024859,3ed47f2182c440e,-1,Croatia,29,236,266,-1,False
310570620,3mpetri,2020-11-27 02:47:21.592064,Osijek,222,180,409,2020-10-20 14:38:19.698248,False
262761208,3mzb,2020-11-27 13:00:26.057698,Croatia,26,31,27,-1,False
1236289950045405184,3nxdx3,2020-11-27 13:00:27.578376,Zagreb,97,137,5,-1,False
543386439,3pHip,2020-11-27 13:00:28.719369,Croatia,4,80,5,-1,False
120459417,3ppie,-1,Zagreb,15,69,65,-1,False
109934569,40_a,-1,Zagreb,1,4,41,-1,True
309856120,42_studio,2020-11-27 13:00:33.713904,"Pula, Croatia",9,18,6,-1,False
3075012077,42e3741b1420479,2020-11-27 13:00:34.763051,Republic of Croatia,0,7,2,-1,False
197916648,42fourty42two42,2020-11-27 13:00:35.793662,"Rijeka, Croatia",21,53,6,-1,False
2873872179,439cf79880ce4c7,2020-11-27 13:00:36.818534,Republic of Croatia,18,23,1,-1,False
913519977248051200,44Crna,2020-11-27 13:00:37.751245,Republic of Croatia,0,85,0,-1,False
3186005955,458a811bd63a48d,2020-11-27 13:00:38.733014,Republic of Croatia,0,9,2,-1,False
961212138533638016,45Dinamo45,-1,Republic of Croatia,0,300,1,2020-10-16 16:48:58.110026,True
861545150698459008,45degreessail,2020-11-27 13:00:40.598402,"Split, Croatia",47,106,335,-1,False
825056394,46Caljkusic,2020-11-27 13:00:41.695516,Croatia,6,39,12,2020-11-16 14:11:37.222907,False
3999639502,477_319,2020-11-27 13:00:42.872418,Republic of Croatia,27,324,19,-1,False
2832707699,47a31f2ce2da43c,2020-11-27 13:00:44.029016,Croatia,7,40,10,-1,False
2687140656,4870197,2020-11-27 13:00:44.996341,zagreb,7,3,0,-1,False
717863932,48Luki,2020-11-03 00:06:14.701606,Zagreb,30,163,3,2020-10-17 21:25:52.862314,False
4860928218,4DMonitoring,2020-11-27 13:00:47.778740,Republic of Croatia,76,155,124,-1,False
4306607115,4RFCB,2020-11-27 13:00:53.309195,Croatia,41,231,1491,-1,False
371358606,4_damir,2020-11-27 13:00:54.715661,Croatia,13,43,75,-1,False
3351724017,4e68486c68dc44a,2020-11-27 13:00:56.975097,Republic of Croatia,10,49,14,-1,False
3161598807,4f719d3230304d0,2020-11-27 13:00:57.957983,osijek,1,4,0,-1,False
3299195759,4faed43c3f5b4f4,2020-11-27 13:00:59.180780,Republic of Croatia,61,426,22,-1,False
3226148939,4filmproduction,2020-11-27 13:01:00.451586,"Zagreb, Croatia",350,2060,101,-1,False
361128885,4lxsml,2020-11-27 13:01:01.497991,Zagreb,3,9,4,-1,False
795962562,4rrgi,2020-11-27 13:01:04.592644,Croatia,6,25,232,-1,False
1263382550271217664,4skinSvr17cm,2020-11-27 13:01:07.434964,Republic of Croatia,33,384,62,-1,False
2971855071,4x4europe,2020-11-27 13:01:08.888734,Croatia,269,296,343,2020-11-15 16:34:58.846170,False
905238313946238848,549stela,2020-11-27 13:01:11.528614,Croatia,21,150,25,2020-11-17 19:37:56.780869,False
113597909,54K4D45,-1,Pula,33,87,78,-1,True
2941905455,54fc875286444f7,2020-11-27 13:01:16.432315,Republic of Croatia,154,87,6234,-1,False
941650250523201536,56BojnaKutina,2020-11-03 00:08:50.282175,Republic of Croatia,443,252,2159,2020-10-18 00:58:50.997415,False
3134667135,576_63,2020-11-27 13:01:17.412038,Republic of Croatia,9,105,0,-1,False
2405622249,5SOSFAMCroatia,2020-11-27 13:01:18.918775,Croatia ,1410,1585,4796,-1,False
2548054056,5SOS_Nike,2020-11-27 13:01:20.844932,Republic of Croatia,60,398,470,-1,False
3245073305,5a7daa8a4c324dc,2020-11-27 13:01:21.903345,Republic of Croatia,3,6,2,-1,False
3096470277,5acramento,-1,Republic of Croatia,9,175,440,-1,True
276663396,5arKovacevic,2020-11-27 13:01:24.101142,Croatia,24,92,86,-1,False
3157079464,5b4a6f0e1c61459,2020-11-27 13:01:25.105167,Republic of Croatia,282,1637,0,-1,False
3355669456,5be41df574f24f5,2020-11-27 13:01:26.080998,Republic of Croatia,5,20,0,-1,False
1058443575749472000,5borova,2020-11-27 13:01:27.568653,Zagreb,2,26,9,-1,False
4061308120,5c80924877084a3,2020-11-03 00:04:42.012864,Republic of Croatia,78,388,3,2020-10-17 19:11:15.837891,False
725345606437359616,5floormadness,2020-11-27 13:01:28.624321,Republic of Croatia,8,81,6,-1,False
200057291,5kop,2020-11-27 13:01:29.659982,Zagreb,14,7,4,-1,False
4053807814,5mins5Qa,2020-11-27 13:01:30.834567,Osijek,3,40,14,-1,False
404369441,5raa_,2020-11-27 13:01:34.578673,"Croatia, Zagreb",58,110,225,-1,False
102996213,5tp,2020-11-27 03:37:43.685780,Republic of Croatia,357,833,312,2020-10-22 00:35:28.068813,False
807948666321469440,5viki0,-1,Zagreb,0,12,1,-1,True
3399943229,6001e609276d484,2020-11-27 13:01:36.027870,Republic of Croatia,33,211,206,-1,False
4317029243,60662d8e4e05433,2020-11-03 00:21:02.671353,Republic of Croatia,5,21,30,2020-10-04 00:26:25.024469,False
2768210649,60e7ebe3861b4c2,2020-11-27 13:01:37.133082,"Zagreb, Croatia",46,249,18,-1,False
1403481668,63Popovic,2020-11-27 13:01:38.205082,Rijeka,2,15,3,-1,False
703919440849707008,641_97,2020-11-27 13:01:39.302631,Republic of Croatia,37,382,16,-1,False
2997815254,64297a8f60fa45d,2020-11-03 00:18:34.866952,Republic of Croatia,28,130,2,2020-10-10 04:53:16.684802,False
2746590394,665d529e6d3e4f7,2020-11-27 13:01:40.288492,Republic of Croatia,0,6,0,-1,False
3212675817,68d24dadb540476,2020-11-27 13:01:41.401573,Croatia,4,52,7,-1,False
